code,system
2D52.00,readv2
C34y000,readv2
G557300,readv2
C34y100,readv2
N023300,readv2
N023400,readv2
N023600,readv2
N023200,readv2
N023700,readv2
Nyu1700,readv2
N023100,readv2
C34y200,readv2
C345.00,readv2
6693.00,readv2
6696.00,readv2
C342.00,readv2
C34..00,readv2
6697.00,readv2
6695.00,readv2
1443.00,readv2
C344.00,readv2
C34y300,readv2
C34z.00,readv2
C34y400,readv2
11462.0,readv2
12594.0,readv2
57334.0,readv2
52117.0,readv2
2857.0,readv2
94539.0,readv2
49775.0,readv2
45465.0,readv2
14996.0,readv2
709.0,readv2
36481.0,readv2
72471.0,readv2
3759.0,readv2
59344.0,readv2
50067.0,readv2
27521.0,readv2
97539.0,readv2
9874.0,readv2
35660.0,readv2
68209.0,readv2
58064.0,readv2
93677.0,readv2
52101.0,readv2
17284.0,readv2
10080.0,readv2
21687.0,readv2
34006.0,readv2
29658.0,readv2
93689.0,readv2
16475.0,readv2
52969.0,readv2
58746.0,readv2
4440.0,readv2
24153.0,readv2
28999.0,readv2
44566.0,readv2
60541.0,readv2
61145.0,readv2
35664.0,readv2
M10,readv2
C341.00,readv2
C341z00,readv2
N023x00,readv2
N023800,readv2
N023z00,readv2
N023.00,readv2
669..00,readv2
669Z.00,readv2
6692.00,readv2
6691.00,readv2
C34yz00,readv2
C34y.00,readv2
C34y500,readv2
C340.00,readv2
M14.0,readv2
N023y00,readv2
